VIRCat	Germ	GBegF	BegFEndF	EndFBegM	BegMEndM	FloCol	StemCol	BushShape	LeafSize	FlowStemCol	AscoRes	StemBr	StemL1ord	StemBr1ord	StemBr2ord	PodD	PodS	Height	Hlp	NoPodsWeight	PodsWeight	PodsNumber	SeedsNumber	SeedsWeight	PodShape	PodLength	PodWidth	SeedShape	SeedCol	Seed1000W
vir_0221	8	39	2.63905732961526	1.79175946922806	17	2	3	3	5	3	7	9	3	7	5	1	1	50	20	2.53369681395743	2.67414864942653	3.95124371858143	3.43398720448515	1.64865862558738	7	20	8	5	10	5.34710753071747
vir_0222	8	38	2.70805020110221	1.94591014905531	16	2	3	5	5	3	5	7	3	7	5	1	1	60	27	1.97408102602201	1.41098697371026	2.89037175789616	2.48490664978800	0.336472236621213	7	23	11	3	10	5.19295685089021
vir_0225	8	39	2.77258872223978	2.30258509299405	11	3	7	5	5	7	7	5	3	1	5	2	2	50	31	2.50959926237837	1.80828877117927	3.63758615972639	3.40119738166216	1.80828877117927	7	20	9	3	10	5.48063892334199
vir_0226	8	39	3.09104245335832	2.56494935746154	12	1	3	5	5	3	7	7	3	1	5	1	2	56	32	2.14006616349627	2.91235066461494	3.80666248977032	3.97029191355212	2.38876278923510	7	21	10	5	1	5.52146091786225
vir_0227	7	39	2.70805020110221	1.60943791243410	12	2	3	5	7	3	7	7	3	1	5	1	2	60	21	2.28238238567653	2.88480071284671	4.21950770517611	4.41884060779660	2.72129542785223	7	22	11	3	10	5.37063802812766
vir_0229	8	35	2.99573227355399	2.19722457733622	13	1	3	5	5	3	7	9	3	7	5	1	2	50	21	1.97408102602201	2.48490664978800	3.76120011569356	3.87120101090789	2.24070968927596	7	23	12	5	1	5.50125821054473
vir_0230	8	41	2.94443897916644	2.48490664978800	14	3	7	5	5	7	5	9	3	7	5	1	1	56	25	2.42480272571830	2.12823170584927	3.87120101090789	3.89182029811063	1.94591014905531	7	19	8	3	10	5.04342511691925
vir_0231	8	39	2.77258872223978	1.94591014905531	14	3	7	5	5	7	9	9	3	7	5	1	2	55	21	2.65324196460722	2.38876278923510	4.27666611901606	4.23410650459726	2.28238238567653	7	20	10	5	10	5.01063529409626
vir_0232	8	39	2.70805020110221	2.19722457733622	16	3	5	5	5	7	7	9	3	7	5	1	1	60	27	2.98568193770049	2.24070968927596	4.06044301054642	3.93182563272433	2.31253542384721	7	16	8	3	10	5.24702407216049
vir_0233	7	40	2.70805020110221	2.19722457733622	15	3	3	5	5	3	7	9	5	1	5	1	2	57	25	2.63905732961526	2.90142159408275	4.09434456222210	3.97029191355212	2.38876278923510	7	24	11	3	10	5.52146091786225
