	LeafShape	FlowCol	FluffCol	FlowGroup	Height	GrowthType	Polegaemost	GermBMatur	MaturType	PodShat	Yield	Protein	Oil	Productivity	ilr1	ilr2
V_222	1	1	2	3	72.5	0.5	0	116	4	5	19.2	41.2	21.1	211	0.473171261878283	-0.200698489764586
V_223	1	1	2	4	77.5	1	0	114	4	5	16.5	41.9	19.4	181	0.54448124480344	-0.249488820630751
V_224	1	1	2	3	57.5	1	0	111	4	15	12.6	42.2	21.3	138	0.483458203568133	-0.160644570396299
V_225	1	1	2	3	57.5	1	0	113	4	20	10.8	44.5	20	119	0.565513538334469	-0.142006689867304
V_226	1	1	2	3	77.5	0.5	0	111	4	5	17.5	40.2	21.1	192	0.45579675679344	-0.232105141750251
V_227	1	1	0	3	115	0	0.5	113	4	5	20.3	39.5	23	223	0.382407912331456	-0.178358361941986
V_228	1	0	0	3	87.5	0.5	0	110	3	15	17.2	40.6	23	189	0.401830293385785	-0.142835979525684
V_229	1	1	2	3	87.5	0	0	114	4	0	19.3	40.2	21.9	212	0.42948277046878	-0.19985737567249
V_230	1	0	0	5	82.5	0.5	0	118	4	0	15.2	38.6	22	167	0.397542378372516	-0.24627043430411
V_231	1	1	0	4	82.5	0	0	118	4	5	20.1	39.4	22.5	221	0.396156932729025	-0.201326598816748
V_232	1	0	2	4	105	0	0	116	4	10	17.4	39.1	22.3	192	0.397065763945137	-0.218737559143804
V_233	1	1	2	4	77.5	0.5	0	109	3	5	23.9	40.8	22	263	0.436737169324964	-0.176727822218967
V_234	1	1	2	4	67.5	1	0	118	4	5	15.1	42.3	19.9	166	0.533206139712333	-0.216008819398939
V_235	1	1	2	3.5	72.5	0.5	0	114	4	10	16.3	40	21.9	179	0.425956046044875	-0.206190891313981
V_236	1	1	0	4	72.5	0.5	0	115	4	5	19.2	39.3	22.7	211	0.388102341110952	-0.196605385880494
V_237	1	1	2	4	72.5	0	0	115	4	15	20.2	40.7	21.6	222	0.447976737470498	-0.196121981398223
V_238	1	0	1	4	77.5	0	0	113	4	25	16.3	43.9	21.1	179	0.518055616981716	-0.114108974425871
V_239	1	1	2	5	77.5	0.5	0	123	5	0	4.7	38.2	17.1	52	0.568342061969187	-0.456435070778276
V_240	1	1	2	5	87.5	0.5	0	133	5	0	8.1	41.6	19.6	89	0.532147775310476	-0.25034224436393
